epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.842,1.03138,9.59965,0.82691,0.94705,0.28526,0.31568,0.22957,0.87262,5.93567,0.82707,0.000413732,0.000413732,0.000413732
2,530.683,1.02036,9.73651,0.77721,0.3117,0.41027,0.52325,0.38254,0.86305,6.24611,0.83114,0.000802996,0.000802996,0.000802996
3,804.555,0.93006,8.24057,0.77544,0.8323,0.61852,0.60812,0.46306,0.84426,4.41291,0.8212,0.00116476,0.00116476,0.00116476
4,1081.37,0.93264,7.00251,0.7813,0.83645,0.57454,0.66849,0.51468,0.89179,4.46497,0.84003,0.00112625,0.00112625,0.00112625
5,1369.36,0.93889,5.40624,0.77604,0.75912,0.67281,0.776,0.58086,0.81644,3.5227,0.815,0.001085,0.001085,0.001085
6,1820.04,0.97045,4.2209,0.83097,0.75092,0.69762,0.63035,0.47035,0.98599,3.27542,0.84689,0.00104375,0.00104375,0.00104375
7,2154.63,0.95291,3.76862,0.81342,0.78988,0.87652,0.87619,0.6996,0.80562,2.24673,0.81979,0.0010025,0.0010025,0.0010025
8,2651.08,0.90386,3.55114,0.81139,0.75931,0.87631,0.83464,0.63919,0.77839,2.4522,0.81017,0.00096125,0.00096125,0.00096125
9,3111.35,0.88992,3.6192,0.77913,0.83794,0.74491,0.81715,0.65457,0.75745,2.16372,0.81393,0.00092,0.00092,0.00092
10,3945.09,0.85051,3.23953,0.78265,0.73754,0.87419,0.86082,0.70485,0.65901,1.73787,0.79019,0.00087875,0.00087875,0.00087875
11,4486.22,0.82542,2.86644,0.77959,0.81321,0.91663,0.87317,0.70125,0.70873,1.57168,0.79206,0.0008375,0.0008375,0.0008375
12,4822.73,0.7378,2.77324,0.70888,0.75558,0.9441,0.8932,0.74789,0.63408,1.4949,0.78205,0.00079625,0.00079625,0.00079625
13,5093.25,0.81598,2.26704,0.76259,0.82373,0.97053,0.90272,0.75066,0.66133,1.28164,0.78738,0.000755,0.000755,0.000755
14,5359.25,0.7907,2.26038,0.7573,0.71333,0.93302,0.90813,0.75695,0.65358,1.57107,0.78835,0.00071375,0.00071375,0.00071375
15,5625.01,0.7758,2.18464,0.75469,0.83486,0.95361,0.8966,0.74019,0.68872,1.22611,0.7973,0.0006725,0.0006725,0.0006725
16,5889.37,0.74359,1.99398,0.76456,0.79914,0.93658,0.88044,0.73759,0.64563,1.21876,0.7844,0.00063125,0.00063125,0.00063125
17,6152.87,0.71724,1.96531,0.72301,0.85869,0.93616,0.8761,0.74296,0.63789,1.88141,0.78061,0.00059,0.00059,0.00059
18,6414.2,0.69612,1.83891,0.73005,0.81614,0.98718,0.88111,0.73893,0.66219,1.00138,0.79089,0.00054875,0.00054875,0.00054875
19,6685.17,0.74544,2.00346,0.75178,0.80576,0.94168,0.88284,0.7368,0.64601,1.00514,0.78689,0.0005075,0.0005075,0.0005075
20,6965.45,0.68945,1.66841,0.74825,0.84599,0.94496,0.88467,0.75049,0.61742,0.97681,0.78188,0.00046625,0.00046625,0.00046625
21,7237.83,0.58847,1.69378,0.64066,0.82307,0.93839,0.86776,0.71936,0.64372,1.01786,0.78189,0.000425,0.000425,0.000425
22,7513.87,0.56359,1.77549,0.64489,0.83502,0.90856,0.88957,0.75838,0.59958,0.89153,0.77868,0.00038375,0.00038375,0.00038375
23,7771.22,0.58426,1.68989,0.66313,0.79527,0.9594,0.89827,0.7546,0.64812,0.84946,0.78359,0.0003425,0.0003425,0.0003425
24,8028.71,0.58444,1.59693,0.66905,0.84602,0.91023,0.88275,0.77202,0.58708,0.93325,0.78068,0.00030125,0.00030125,0.00030125
25,8287.5,0.5648,1.36825,0.66782,0.80385,0.97553,0.87463,0.74766,0.56875,0.87773,0.77679,0.00026,0.00026,0.00026
26,8686.97,0.52922,1.37604,0.64436,0.83469,0.96867,0.87582,0.75184,0.59812,0.79076,0.77968,0.00021875,0.00021875,0.00021875
27,8958.34,0.54409,1.27295,0.67237,0.85735,0.94463,0.88076,0.74086,0.60759,0.77594,0.78131,0.0001775,0.0001775,0.0001775
28,9282.49,0.50637,1.34844,0.61816,0.84162,0.95275,0.89297,0.77155,0.56393,0.74206,0.77262,0.00013625,0.00013625,0.00013625
29,9697.95,0.5569,1.22681,0.68732,0.78961,0.98668,0.88617,0.76337,0.56796,0.79183,0.77195,9.5e-05,9.5e-05,9.5e-05
30,9972.37,0.50499,1.34141,0.64108,0.84113,0.94142,0.89061,0.77378,0.56102,0.74733,0.77279,5.375e-05,5.375e-05,5.375e-05
