epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,537.778,1.32933,8.47173,1.0226,0.88299,0.31987,0.30661,0.24572,0.78267,6.46245,0.79986,0.000220768,0.000220768,0.000220768
2,1060.64,1.29241,7.21112,0.96261,0.72065,0.52104,0.44548,0.31644,0.85234,6.86198,0.82073,0.000434328,0.000434328,0.000434328
3,1606.35,1.16432,6.58903,0.9334,0.36116,0.45299,0.5119,0.3629,0.78915,5.27565,0.80971,0.000639083,0.000639083,0.000639083
4,2099.19,1.1582,6.06665,0.94204,0.87304,0.55724,0.5987,0.44338,0.75418,5.34375,0.80724,0.00062738,0.00062738,0.00062738
5,2597.83,1.21624,4.85036,0.97061,0.6476,0.817,0.81966,0.57055,0.73472,4.05592,0.79859,0.000614174,0.000614174,0.000614174
6,3120.24,1.08748,4.52452,0.92527,0.79543,0.7871,0.87362,0.7031,0.68836,3.70725,0.7935,0.000600967,0.000600967,0.000600967
7,3634.43,1.12369,4.50163,0.92407,0.7984,0.59677,0.86589,0.69388,0.68594,3.75075,0.79673,0.00058776,0.00058776,0.00058776
8,4127.68,1.07061,3.80058,0.91561,0.79607,0.86661,0.89715,0.73581,0.68876,3.33101,0.79921,0.000574554,0.000574554,0.000574554
9,4622.75,1.01994,3.81078,0.88743,0.80136,0.76153,0.77205,0.63385,0.66467,3.46894,0.78959,0.000561347,0.000561347,0.000561347
10,4947.05,1.00688,3.53106,0.89343,0.71114,0.82912,0.87713,0.68966,0.7979,3.08702,0.81069,0.000548141,0.000548141,0.000548141
11,5279.36,0.99775,3.38513,0.90349,0.80341,0.90702,0.92055,0.76304,0.66897,2.66446,0.78859,0.000534934,0.000534934,0.000534934
12,5608.57,0.92889,3.93091,0.82111,0.64335,0.79915,0.88249,0.72134,0.73212,2.44444,0.79245,0.000521727,0.000521727,0.000521727
13,5897.25,0.99993,3.02485,0.87842,0.75129,0.9381,0.92478,0.77838,0.63014,2.36722,0.78426,0.000508521,0.000508521,0.000508521
14,6184.79,0.92707,2.93006,0.8579,0.75694,0.83914,0.87764,0.7323,0.69772,2.67278,0.79468,0.000495314,0.000495314,0.000495314
