detection_id,pixel_x,pixel_y,lat_deg,lon_deg,symbol_class,tri_overlap,dot_overlap,confidence,blob_area_px2,solidity,elevation_ocr
1,2088,9,39.994168,-78.413357,obstacle,0.5738,0.0,LOW,97,0.5301,
2,4668,16,39.989632,-75.785683,obstacle,0.8448,0.0,MEDIUM,103,0.5393,
3,4172,17,39.988984,-76.290848,obstacle,0.8235,0.0,MEDIUM,106,0.5354,
4,5146,19,39.987688,-75.298851,obstacle,0.8105,0.0,MEDIUM,170,0.509,
5,1911,20,39.98704,-78.593627,obstacle,0.918,0.0,HIGH,100,0.5348,
6,3344,20,39.98704,-77.134148,obstacle,0.7246,0.0,LOW,105,0.5385,
7,3873,24,39.984448,-76.595373,obstacle,0.7647,0.0,MEDIUM,106,0.5464,
8,1783,37,39.976025,-78.723992,obstacle,0.9016,0.0,HIGH,106,0.5521,
9,3373,43,39.972137,-77.104612,obstacle,0.9672,0.0,HIGH,102,0.5204,
10,5935,48,39.968897,-74.495271,obstacle,0.7377,0.0,LOW,102,0.5455,
11,5814,51,39.966953,-74.618507,obstacle,0.8088,0.0,MEDIUM,111,0.5635,
12,1985,52,39.966305,-78.51826,obstacle,0.75,0.0,MEDIUM,101,0.5206,
13,3460,54,39.965009,-77.016005,obstacle,0.8382,0.0,MEDIUM,119,0.598,
14,4205,54,39.965009,-76.257238,obstacle,0.7869,0.0,MEDIUM,102,0.5484,
15,2842,59,39.961769,-77.645424,obstacle,0.8116,0.0,MEDIUM,112,0.56,
16,1517,61,39.960473,-78.994908,obstacle,0.8525,0.0,MEDIUM,105,0.5469,
17,2698,76,39.950753,-77.792085,obstacle,0.7353,0.0,LOW,108,0.5538,
18,5333,78,39.949457,-75.108395,obstacle,0.8235,0.0,MEDIUM,128,0.6154,
19,5739,79,39.948809,-74.694893,obstacle,0.918,0.0,HIGH,115,0.5838,
20,1593,85,39.944921,-78.917503,obstacle,0.9016,0.0,HIGH,97,0.5272,
21,3151,86,39.944273,-77.330714,obstacle,0.4861,0.3333,MARGINAL,142,0.6147,
22,5598,86,39.944273,-74.838498,obstacle,0.8116,0.0,MEDIUM,118,0.5646,
23,2132,93,39.939738,-78.368544,obstacle,0.8525,0.0,MEDIUM,102,0.5368,
